Aari
Andoquero
Andra-Hus
Andro
Aneityum
Anem
Aneme Wake
Anfillo
Angaataha
Angaité
Angal
Angal Enen
Angal Heneng
Angami Naga
Angami Naga Sign Language
Anggamuthi
Angguruk Yali
Angika
Angloromani
Angolar
Angor
Angoram
Angosturas Tunebo
Anguthimri
//Ani
Anii
Animere
Anindilyakwa
Ani Phowa
Anjam
Ankave
Anmatyerre
Annobonese
Anor
Anserma
Ansus
Antakarinya
Anta-Komnzo-Wára-Wérè-Kémä
Antankarana Malagasy
Antigua and Barbuda Creole English
Antioquian
Anu
Anuak
Anufo
Anuki
Anus
Anuta
Anyin
Anyin Morofo
Aoheng-Seputan
Ao Naga
Aore
A'ou
Apalachee
Apalaí
Apali
Apalik
Apasco-Apoala Mixtec
Apatani
Apiaká
Apiaka-Tocantins
Apinayé
Apma
Ap Ma
Apolista
Apoto
Aproumu Aizi
A-Pucikwar
Apulia-Calabrian Greek
Apurinã
Aputai
Arabana
Arabela
Aracaju
Arafundi-Enga Pidgin
Aragonese
Araicu
Arakanese
Araki
Arakwal
Aralle-Tabulahan
Aramanik
Arammba
Aranadan
Aranama
Arandai
Araona
Arapaho
Arapaso
Araweté
Arawum
Arazaire
Arbëreshë Albanian
Arbore
Archaic Finnish Swedish
Archaic Gutnish
Archaic Norrlandic
Archi
Are
'Are'are
Areba
Arem
Arequipa-La Unión Quechua
Argentine Sign Language
Argobba
Arguni
Arhâ
Arhö
Arhuaco
Ari
Aribwatsa
Aribwaung
Arifama-Miniafia
Arigidi
Arikapú
Arikara
Arikem
Arin
Aringa
Aritinngitigh
Arizona Tewa
Arma
Armenian
Armenian Sign Language
Aro
Aromanian
Arop-Lokep
Arop-Sissano
Arosi
Arpitan
Arta
Aruá (Amazonas State)
Aruamu
Aruan
Aruá (Rondonia State)
Aruba
Aruek
Arusha
Arutani
Arvanitika Albanian
As
Asabano
Asaro'o
Asas
Asháninka
Ashe
Ashéninka Pajonal
Ashéninka Perené
Ashkun
Asho Chin
Ashtiani
Asilulu
Askopan
Asoa
Assamese
Assan
Assangori
Assiniboine
Assyrian Neo-Aramaic
Asturian
Asue Awyu
Asumboa
Asunción Mixtepec Zapotec
Asu (Nigeria)
Asuri
Asu (Tanzania)
Ata
Atacame
Atakapa
Ata Manobo
Atampaya
Atatláhuca Mixtec
Atayal
Athima
Athpariya
Ati
Atikamekw
Atohwaim
Atong
Atong (India)
Atorada
Atsahuaca
Atsam
Atsugewi
Attapady Kurumba
Attié
Atuence
Atzingo Matlatzinca
Au
'Auhelawa
Aukan
Aulua
Aurê y Aurá
Aushi
Aushiri
Austral
Australian Aborigines Sign Language
Australian Sign Language
Austrian Sign Language
Auvergnat
Auwe
Auwon
Auye
Auyokawa
Avá-Canoeiro
Avane
Avar
Avatime
Avau
Avava
Avestan
Avikam
Avok
Avokaya
Awabakal
Awa-Cuaiquer
Awad Bing
Awadhi
Awak
Awa (Papua New Guinea)
Awar
Awara
Awbono
Aweer
Awera
Awetí
Awing
Awiyaana
Awjilah-Foqaha
Awngi
Awtuw
Awu = Lope
Awutu
Awyi
Axamb
Axi Yi
Ayacucho Quechua
Ayautla Mazatec
Ayere
Ayi (China)
Ayi (Papua New Guinea)
Ayiwo
Ayizi
Ayizo Gbe
Ayoquesco Zapotec
Ayoreo
Ayu
Ayutla Mixtec
Azha
Azhe
Azoyú Me'phaa
Baa
Baan
Baangi
Baatonum
Baazem
Baba
Babalia Creole Arabic
Baba Malay
Babango
Babanki
Babatana
Babine
Babuza
Bacama
Bacama-Yimburu
Bacanese Malay
Bactrian
Badaga
Bada (Indonesia)
Bada (Nigeria)
Bade
Badeshi
Bädi Kanum
Badimaya
Badui
Baeggu
Baelelea
Baenan
Baetora
Bafanji
Bafaw-Balong
Bafia
Bafoto
Bafut
Baga Kaloum
Baga Koga
Baga Manduri
Baga Mboteni
Baga Mboteni-Binari
Baga Sitemu
Baga Sobané
Bagheli
Bagirmi
Bagirmi Fulfulde
Bago-Kusuntu
Bagri
Bagua
Bagupi
Bagusa
Bagvalal
Baha Buyang
Baham
Bahamas Creole English
Baharna Arabic
Bahau
Bahau River Kenyah
Bahinemo
Bahing
Bahnar
Bahonsuai
Bai
Baibai
Baikeno
Baima
Bai-Maclay
Baimak
Bainouk-Gunyaamolo-Gutobor
Bainouk-Samik
Bainounk-Gujaher
Baiso
Baissa Fali
Bajan
Bajelani
Baka (Cameroon)
Bakairí
Bakaka
Baka (Sudan)
Bakhtiari
Baki
Bakoko
Bakole
Bakpinka
Bakumpai
Bakung Kenyah
Bakwé
Balade
Balaesang
Balangao
Balangingi
Balanta-Ganja
Balantak
Balanta-Kentohe
Balau
Baldemu
Bali (Democratic Republic of Congo)
Balinese
Balinese Malay
Bali (Nigeria)
Balkan Gagauz Turkish
Balkan Romani
Balo
Balobo
Balti
Baltic Romani
Bamali
Bambalang
Bambam
Bambara
Bambassi
Bambili-Bambui
Bamenyam
Bamu
Bamukumbit
Bamun
Bamunka
Bamwe
Bana
Banao Itneg
Banaro
Banawá
Banda-Bambari
Banda-Banda
Banda (Indonesia)
Banda Malay
Banda-Mbrès
Banda-Ndélé
Banda-Yangere
Bandi
Bandial
Bandjigali
Bangad
Bangala
Bangba
Banggai
Banggarla
Bangi
Bangime
Bangka
Bangolan
Bangru
Bangubangu
Bangwinji
Baniva de Maroa
Baniwa do Icana
Banjar
Bankagooma
Bankan Tey Dogon
Ban Khor Sign Language
Bankon
Bannoni
Bantang
Bantawa
Bantayanon
Bantik
Bantoanon
Baoulé
Bapen
Baraamu
Barai
Barain
Barakai
Barama
Bara Malagasy
Barambu
Baram Kayan
Baramu
Barapasi
Baras
Barasana-Eduria
Barbacoas
Barbareño
Barclayville Grebo
Bardi
Baré
Bargam
Bari
Barí
Bariai
Bariji
Barikanchi
Barikewa
Barok
Barombi
Barranbinya
Barro Negro Tunebo
Barrow Point
Baruga
Baruya
Barwe
Barzani Jewish Neo-Aramaic
Basa (Cameroon)
Basa-Gumna
Basa-Gurmana
Basa (Nigeria)
Basap
Basay
Bashkardi
Bashkir
Basketo
Basque
Basque-Amerindian Pidgin
Bassa
Bassa-Kontagora
Bassari-Tanda
Bassossi
Basum
Bata
Bataan Ayta
Batad Ifugao
Batak
Batak Alas-Kluet
Batak Angkola
Batak Dairi
Batak Karo
Batak Mandailing
Batak Simalungun
Batak Toba
Batanga
Batanta
Batek
Bateri
Bathari
Bati (Cameroon)
Bati (Indonesia)
Bats
Batu
Batui
Batuley
Bau
Bauchi
Bau-Jagoi Bidayuh
Baure
Bauria
Bauro
Bauwaki
Bauxite Pidgin
Bauzi
Bavarian
Bawm Chin
Bayali
Baybayanon
Baygo
Bay Miwok
Bayono
Bayot
Bayungu
Bazigar
Beami
Beaver
Beba
Bebe
Bebele
Bebeli
Bebil
Bedik
Bedoanas
Beeke
Beele
Beembe
Beezen
Befang
Begbere-Ejar
Beja
Bekwarra
Bekwil
Belanda Bor
Belanda Viri
Belarusian
Belep
Belgian Sign Language
Belhariya
Beli (Papua New Guinea)
Beli (Sudan)
Belize Kriol English
Bella Coola
Bellari
Belle-Isle Pidgin
Belneng
Belueli
Bemba (Democratic Republic of Congo)
Bemba (Zambia)
Bembe
Benabena
Bena (Nigeria)
Bena (Tanzania)
Bench
Bende
Bendi
Beng
Benga
Bengali
Benggoi
Bengkulu
Ben-Lomond-Cape-Portland
Ben Tey Dogon
Bentong
Benyadu'
Beothuk
Bepour
Bera
Berakou
Berau Malay
Berbice Creole Dutch
Beria
Berik
Berinomo
Berom
Berta
Berti
Besisi
Besme
Besoa
Betaf
Betawi
Bete-Bendi
Bete (Yukubenic)
Beti (Cameroon)
Beti (Côte d'Ivoire)
Betoi-Jirara
Betta Kurumba
Bezhta
Bhadrawahi
Bhalay
Bharia
Bhatola
Bhatri
Bhattiyali
Bhaya
Bhele
Bhilali
Bhili
Bhojpuri
Bhoti Kinnauri
Bhunjia
Biafada
Biage
Biak
Biali
Biangai
Bian Marind
Biao-Jiao Mien
Biao Mon
Biatah Bidayuh
Bidai
Bidiyo
Bidyara
Biem
Bierebo
Bieria
Biete
Biga
Bigambal
Big Nambas
Bih
Bijori
Bikaru-Bragge
Bikya
Bila
Bilakura
Bilaspuri
Bilba
Bilbil
Bile
Bilin
Bilma Kanuri
Biloxi
Bilua
Bilur
Bima
Bimin
Bimoba
Binahari
Binahari-Ma
Binandere
Bina (Nigeria)
Bina (Papua New Guinea)
Bindal-Cunningham
Bindal-Gorton
Bindal-Mount Elliot
Bine
Bini
Bininj Kun-Wok
Binji
Binongan Itneg
Bintauna
Bintulu
Binumarien
Bipi
Birao
Birgit
Birhor
Biri
Biritai
Birked
Birrdhawal
Birri
Birwa
Biseni
Bishnupuriya
Bishuo
Bisis
Bislama
Bisorio
Bissa
Bisu
Bisu (Retired)
Bit
Bitare
Bitur
Biwat
Biyo
Biyom
Blablanga
Blagar
Blang
Boano (Maluku)
Boano (Sulawesi)
Bobongko
Bobot
Bodo (Central African Republic)
Bodo Gadaba
Bodo (India)
Bodo Parja
Bofi
Boga
Bogaya
Boghom
Boguru
Bohtan Neo-Aramaic
Boikin
Bokar-Ramo
Bokha
Bokobaru
Boko (Benin)
Boko (Democratic Republic of Congo)
Bokoto
Bokyi
Bola
Bolango
Bo (Laos)
Bole
Bolgarian
Bolgo
Bolia
Bolinao
Bolivian Sign Language
Boloki
Bolon
Bolondo
Bolongan
Bolyu
Boma
Bomboli
Bomboma
Bomitaba
Bom-Kim
Bomu
Bomwali
Bonan
Bonari
Bondei
Bondo
Bondoukou Kulango
Bonerate
Bonerif
Bonggi
Bonggo
Bongili
Bongo
Bongu
Bon Gula
Bonin English Pidgin
Bonkeng
Bonkiman
Bookan
Boon
Boor
Bo (Papua New Guinea)
Bora
Borana-Arsi-Guji Oromo
Border Kuna
Borei
Borgarmalet
Borgu Fulfulde
Bori-Karko
Borna (Democratic Republic of Congo)
Boro
Boro (Ethiopia)
Borong
Bororo
Boruca
Bo-Rukul
Boselewa
Bosngun
Bosnian
Bote-Majhi
Botlikh
Botolan Sambal
Bouna Kulango
Bo-Ung
Bouyei
Bozaba
Bragat
Brahui
Braj
Brao
Brazilian Sign Language
Brek Karen
Brem
Breri
Breton
Bribri
Bribri Sign Language
British Sign Language
Broken Oghibbeway
Broken Slavey
Brokpake
Brokskat
Brooke's Point Palawano
Broome Pearling Lugger Pidgin
Brunca Sign Language
Brunei
Brunei Bisaya
Brunei-Sabah Malay
Bruny Island
Bu
Bua
Bualkhaw Chin
Buamu
Bube
Bubi
Bubia
Budeh Stieng
Budibud
Budong-Budong
Budu
Budukh
Buduma
Budza
Buena Vista Yokuts
Bugan
Bugan (Retired)
Bugawac
Bughotu
Buginese
Buglere
Bugun
Buhid
Buhutu
Bujhyal
Bukar-Sadung Bidayuh
Bukat
Bukharic
Bukitan
Bukit Malay
Bukiyip
Buksa
Bukusu
Bukwen
Bularnu
Bulgarian
Bulgarian Sign Language
Bulgebi
Buli (Ghana)
Buli (Indonesia)
Bullom So
Bulo Stieng
Bulu (Cameroon)
Bulu (Papua New Guinea)
Bum
Bumaji
Bumang
Bumbita Arapesh
Bumthangkha
Bun
Buna
Bunaba
Bunak
Bunama
Bunan
Bu-Nao Bunu
Bundeli
Bung
Bungain
Bunganditj
Bungku
Bungu
Bunoge Dogon
Bunun
Buol
Burak
Buraka
Bura-Pabir
Burarra
Bura Sign Language
Burate
Burduna
Bure
Burji
Burkina Faso Sign Language
Burma Pyu
Burmbar
Burmese
Burmeso
Burui
Buru (Indonesia)
Burumakok
Burum-Mindik
Burun
Burundi Pidgin French
Burunge
Buru (Nigeria)
Burushaski
Burusu
Buruwai
Busa
Busam
Busami
Busang Kayan
Bushi
Bushoong
Buso
Busoa
Bussa
Busuu
Butam
Butbut Kalinga
Butler English
Butuanon
Buwal
Buxinhua
Buya
Buyu
Buyuan Jinuo
Bwa
Bwaidoka
Bwanabwana
Bwatoo
Bwe Karen
Bwela
Bwenelang
Bwile
Bwisi
Byangsi
Byep
Caac
Cabécar
Cabiyarí
Cacaloxtepec Mixtec
Cacaopera
Cacgia Roglai
Caddo
Cafundo
Cagua
Cahuarano
Cahuilla
Caijia
Cajamarca Quechua
Cajatambo North Lima Quechua
Cajonos Zapotec
Cajun French
Caka
Cakchiquel-Quiché Mixed Language
Cakfem-Mushere
Calamian Tagbanwa
Calchaqui
Calderón Highland Quichua
Callawalla
Calo
Caló
Calusa
Caluyanun
Camarines Norte Agta
Cambap
Cambodian Sign Language
Cameroon Mambila
Cameroon Pidgin
Camling
Campalagian
Campidanese Sardinian
Camsá
Camtho
Camunic
Cañar Highland Quichua
Canari
Candoshi-Shapra
Canela-Krahô
Canichana
Cao Lan
Cao Miao
Capanahua
Capiznon
Capoxo
Cappadocian Greek
Caquinte
Cara
Carabayo
Caramanta
Carapana
Carian
Cariay
Caribbean Hindustani
Caribbean Javanese
Carijona
Car Nicobarese
Carolina Algonquian
Carolinian
Carpathian Romani
Carrier
Carútana
Cashibo-Cacataibo
Cashinahua
Cashinawa of the Tarauacá river
Casiguran-Nagtipunan Agta
Caspian and eastern Persia Gypsy
Castelmezzano
Casuarina Coast Asmat
Cataelano Mandaya
Catalan
Catalan Sign Language
Catawba
Catuquinaru-Bach
Cauca
Cauho
Cavineña
Cayubaba
Cayuga
Cayuse
Cebaara Senoufo
Cebuano
Celtiberian
Cemuhî
Cen
Central Asmat
Central Awyu
Central Aymara
Central Bai
Central Berawan
Central Bontoc
Central Cagayan Agta
Central Chong
Central Dagaare
Central Dusun
Central-Eastern Niger Fulfulde
Central Gelao-Qau
Central Grebo
Central Guerrero Nahuatl
Central Hongshuihe Zhuang
Central Huasteca Nahuatl
Central Huishui Hmong
Central Ju
Central Kalapuya
Central Kanuri
Central Khmer
Central Kurdish
Central Maewo
Central Malay
Central Mansi
Central Masela
Central Mashan Hmong
Central Mazahua
Central Melanau
Central Mfumte
Central Mnong
Central Moroccan Berber
Central Nicobarese
Central Ojibwa
Central Okinawan
Central Palawano
Central Pame
Central Pashto
Central Pomo
Central Puebla Nahuatl
Central Sama
Central Siberian Yupik
Central Sierra Miwok
Central-Southern Persian Gypsy
Central Subanen
Central Tagbanwa
Central Tarahumara
Central Taurus Sign Language
Central Tunebo
Central Yupik
Cerma
Chacha
Chachapoyas Quechua
Chácobo
Chadian Arabic
Chadian Sign Language
Chadong
Chagatai
Chaima
Chairel
Chak
Chakali
Chakato
Chakma
Chala
Chaldean Neo-Aramaic
Chalikha
Chalon
Chamacoco
Chamalal
Chamari
Chambeali
Chambri
Chamicuro
Chamorro
Chaná
Chang Naga
Changriwa
Changthang
Changuena
Chantyal
Chaouia of the Aures
Chapakura
Cha'palaa
Chara
Charrúa
Chashan
Chatino Sign Language
Chaudangsi
Chaungtha
Chaura
Chavacano
Chayuco Mixtec
Chazumba Mixtec
Che
Chechen
Cheke Holo
Chenapian
Chenchu
Chepang
Chepya
Cherepon
Cherokee
Chesu
Chetco
Chewong
Cheyenne
Chhattisgarhi
Chholo
Chhulung
Chiangmai Sign Language
Chiapanec
Chibcha
Chicahuaxtla Triqui
Chichicapan Zapotec
Chichimeca-Jonaz
Chickasaw
Chicomuceltec
Chiga
Chigmecatitlán Mixtec
Chikunda
Chilcotin
Chilean Quechua
Chilean Sign Language
Chilisso
Chiltepec Chinantec
Chimakum
Chimalapa Zoque
Chimariko
Chimborazo Highland Quichua
Chimila
Chimwiini
China Buriat
Chinali
Chinbon Chin
Chincha Quechua
Chinese Pidgin English
Chinese Pidgin Russian
Chinese Sign Language
Chini
Chinook
Chintang
Chipaya
Chipewyan
Chipiajes
Chippewa
Chiquián Ancash Quechua
Chiquihuitlán Mazatec
Chiquitano
Chiripá
Chiriqui Sign Languages
Chiriva
Chiru
Chitimacha
Chitkuli Kinnauri
Chittagonian
Chittagonian (Retired)
Chitwania Tharu
Choapan Zapotec
Chocangacakha
Chochotec
Choctaw
Chodri
Chokri Naga
Chokwe
Chol
Cholón
Cholti
"Chol, Tila"
Chong of Chanthaburi
Choni
Chono
Chonyi-Dzihana-Kauma
Chopi
Chorotega
Chortí
Chothe
Chrau
Chru
Chuanqiandian Cluster Miao
Chuave
Chug
Chuj
"Chuj, Ixtatán"
Chuka
Chukchi
Chukwa
Chulym
Chumash
Chumburung
Chungmboko
Churahi
Church Slavic
Chut
Chuukese
Chuvantsy
Chuvash
Chuwabu
Cia-Cia
Cibak
Cicipu
Ci Gbe
Cimbala-Cizali
Cimbrian
Cinamiguin Manobo
Cineni
Cinta Larga
Cisalpine Gaulish
Citak
Ciwogai
Clallam
Classical Armenian
Classical Mandaic
Classical Nahuatl
Classical Quechua
Classical Syriac
Classical Tibetan
C'lela
Coahuilteco
Coastal Kadazan
Coastal Konjo
Coastal-Naga Bikol
Coastal-Virac Bikol
Coast Miwok
Coatecas Altas Zapotec
Coatepec Nahuatl
Coatlán Mixe
Coatlán Zapotec
Coatzospan Mixtec
Cocama-Cocamilla
Cochimi
Cocopa
Cocos Islands Malay
Coeruna
Coeur d'Alene
Cofán
Cogui
Col
Colac
Colima
Colloquial Malay
Colombian Sign Language
Colonia Tovar German
Columbia-Wenatchi
Comaltepec Chinantec
Comanche
Comecrudo
Como Karim
Comox
Con
Concho
Congo Swahili
Continental Southern Italian
Côông
Copainalá Zoque
Copala Triqui
Copallen
Coptic
Coquille
Cori
Cornish
Coroado-Puri
Corongo Ancash Quechua
Corsican
Cosao
Costa Rican Sign Language
Cotabato Manobo
Cotoname
Cotoxo
Cowlitz
Coxima
Coyaima
Coyotepec Popoloca
Coyutla Totonac
Creek
Creolized Grand Ronde Chinook Jargon
Crimean Tatar
Croatian
Croatia Sign Language
Cross River Mbembe
Crow
Cruzeño
Cua
Cuba
Cuba Sign Language
Cubeo
Cueva
Cuiba
Cuitlatec
Cuixtla-Xitla Zapotec
Culina
Culli
Cumanagoto
Cumeral
Cun
Cuneiform Luwian
Cupeño
Curripaco
Cusabo
Cusco Quechua
Cushitic Taita
Cutchi-Swahili
Cuvok
Cuyamecalco Mixtec
Cuyonon
Cwi Bwamu
Cypriot Arabic
Cypriot Greek
Czech
Czech Sign Language
Daai Chin
Da'a Kaili
Daakie
Daantanai'
Daasanach
Daats'iin
Daba
Dabarre
Dabe
Dacian
Dadibi
Dadiya
Dafla
Daga
Dagaari Dioula
Dagang-Baoshan-Liangcun
Dagba
Dagbani
Dagik
Dagoman
Dagur
Dahalik
Dahalo
Daho-Doo
Dai
Dair
Dai Zhuang
Dakaka
Dakka
Dakota
Dakpakha
Dalecarlian
Dalmatian
Daloa Bété
Dama (Cameroon)
Damakawa
Damal
Daman-Diu Portuguese
Dama (Sierra Leone)
Dambi
Dameli
Dampelas
Damu
Dan
Danaru
Danau
Dandami Maria
Dangaleat
Dangaura Tharu
Danish
Danish Sign Language
Dano
Dao
Daohua
Daonda
Darai
Darang Deng
Dar Daju Daju
Dar Fur Daju
Dargwa
Dari
Darkhat
Darlong
Darma
Daro-Matu Melanau
Dar Sila Daju
Darwazi
Dass
Datooga
Davawenyo
Dâw
Dawawa
Dawera-Daweloor
Dawro
Day
Dayao Yi
Dayi
Daza
Dazaga
Deccan
Dedua
Defaka
Defi Gbe
Deg
Degaru
Degema
Degenan
Degere
Degexit'an
Dehu
Dehwari
Dek
Dela-Oenale
Delo
Dem
Dema
Demisa
Demta
Demushbo
Dendi (Benin)
Dendi (Central African Republic)
Dengese
Dengka
Dení
Deno
Denya
Deori
Dera (Indonesia)
Dera (Nigeria)
Desano
Desiya
Dewoin
Dezfuli-Shushtari
Dghwede
Dhaiso
Dhalandji
Dhangu
Dhanki
Dhanwar (India)
Dhanwar (Nepal)
Dhao
Dhargari
Dharumbal
Dhatki
Dhimal
Dhivehi
Dhodia-Kukna
Dhofari Arabic
Dhudhuroa
Dhundari
Dhurga
Dhuwal
Diandongbei-Large Flowery Miao
Dibabawon Manobo
Dibiyaso
Dibo
Dibole
Dicamay Agta
Didinga
Dieri
Digo
Dii
Dijim-Bwilim
Dilling
Dima
Dima-Bottego
Dimasa
Dimbong
Dime
Dimir
Dimli
Ding
Diodio
Dirari
Dirasha
Diri
Diriku
Dirim
Disa
Ditammari
Ditidaht
Diuwe
Diuxi-Tilantongo Mixtec
Dixon Reef
Dizin
Djambarrpuyngu
Djangun
Djawi
Djeebbana
Djeoromitxí
Djimini Senoufo
Djinang
Djinba
Djingili
Djiwarli
Dobel
Dobu
Doe
Doga
Doghoro
Dogosé
Dogoso
Dogri
Dogrib
Dogul Dom Dogon
Doka
Doko-Uyanga
Dolgan
Dolpo
Dom
Domaaki
Domari
Dominican Sign Language
Dompo
Domu
Domung
Dondo
Dong
Dongo
Dongotono
Dongshanba Lalo
Dongxiang
Doondo
Dorasque
Dorig
Dori'o
Doromu-Koki
Dororo
Dorze
Doso
Dotyali
Doutai
Doyayo
Dre
Drents
Drung
Duala
Duano
Duau
Dubli
Dubu
Duduela
Dugun
Duguri
Dugwor
Duhwa
Duit
Duke
Dulbu
Duli-Gewe
Duma
Dumbea
Dume
Dumi
Dumpas
Dumpu
Dumun
Duna
Dungan
Dungmali
Dungra Bhil
Dungu
Duoluo Gelao
Dupaninan Agta
Dura
Dur Brokkat
Duri
Duriankere
Duruma
Duruwa
Dusner
Dusun Deyah
Dusun Malang
Dusun Witu
Dutch
Dutch Sign Language
Duungooma
Duupa
Duvle
Duvle-Wano-Pidgin
Duwai
Duwet
Dwang
Dyaabugay
Dyaberdyaber
Dyan
Dyangadi
Dyarim
Dyirbal
Dyugun
Dyula
Dza
Dzalakha
Dzando
Dzao Min
Dzodinka
Dzongkha
Dzubukua
Dzùùngoo
E
Early East African Pidgin Arabic
East Ambae
East Berawan
East Damar
Eastern Abenaki
Eastern Acipa
Eastern Angkuic
Eastern Apurímac Quechua
Eastern Arrernte
Eastern Balochi
Eastern Bolivian Guaraní
Eastern Bru
Eastern Canadian Inuktitut
Eastern Cham
Eastern Durango Nahuatl
Eastern Egyptian Bedawi Arabic
Eastern Frisian
Eastern Gorkha Tamang
Eastern Highland Chatino
Eastern Highland Otomi
Eastern Hongshuihe Zhuang
Eastern Huasteca Nahuatl
Eastern Huishui Hmong
Eastern Karaboro
Eastern Katu
Eastern Kayah
Eastern Keres
Eastern Khumi Chin
Eastern Kikongo
Eastern Lalu
Eastern Lawa
Eastern Low German
Eastern Lowland Kenyah
Eastern Magar
Eastern Maninkakan
Eastern Mari
Eastern Meohang
Eastern Mnong
Eastern Muria
Eastern Newari
Eastern Ngad'a
Eastern Nisu
Eastern Ojibwa
Eastern Oromo
Eastern Panjabi
Eastern Parbate Kham
Eastern Penan
Eastern Pomo
Eastern Puroik
Eastern Qiandong Miao
Eastern Subanen
Eastern Tamang
Eastern Tawbuid
Eastern Xiangxi Miao
Eastern Xwla Gbe
Eastern Yiddish
East Futuna
East Kewa
East Limba
East Makian
East Masela
East Nyala
East Taa
East Tarangan
East Yugur
Ebang
Ebira
Eblaite
Ebrié
Ebughu
Ecuadorian Sign Language
Ede Cabe
Ede Ica
Ede Idaca
Ede Ije
Ede Nago
Edera Awyu
Edolo
Edomite
Edopi
Efai
Efatese
Efe
Efik
Efutop
Ega
Egbuta
Eggon
Egyptian (Ancient)
Egyptian Arabic
Egypt Sign Language
Ehueun
Eipomek
Eitiep
Ejagham
Ejamat
Eka
Ekajuk
Ekari
Eki
Ekit
Ekpeye
El Alto Zapotec
Elamite
Eleme
Elepi
El Hugeirat
Elip
Elkei
El Molo
El Nayar Cora
Elotepec Zapotec
Eloyi
Elpaputih
Elseng
Elu
Elymian
E'ma Buyang
Emae
Emai-Iuleha-Ora
Eman
Embaloh
Emberá-Baudó
Emberá-Catío
Emberá-Chamí
Emberá-Tadó
Embu
Emerillon
Emiliano
Emok
Emplawas
Emumu
En
Enawené-Nawé
Ende
Enga
Enga Sign Language
Engenni
Enggano
English
Enim
Enrekang
Enu
Envuelto
Enwan (Akwa Ibom State)
Enwan (Edu State)
Enya
Epena
Epie
Epigraphic Mayan
Eravallan
Erave
Ere
Erie
Eritai
Erokwanas
Erre
Erromintxela
